Table 1 - Investments other than derivatives,,,,,,,,,,,,
Portfolio Holdings Information for:,Future Fund,,,,,,,,,,,
Reporting Date: ,31/12/2025,,,,,,,,,,,
,,,,,,,,,,,,
Asset Class,Internally or Externally Managed,Name of Institution,Name of Issuer / Counterparty,Name / Investment Item,Name of Investment Manager,Currency,Security Identifier,% Ownership, Units Held ,Value (AUD),Weighting (%),
Listed Equity,,,,"Zhejiang Longsheng Group Co., Ltd.",,,BP3R4W2,,"1,419,600","3,251,193",0.00%,
Listed Equity,,,,Zhejiang NHU Co. Ltd.,,,BD5CH66,,"2,117,881","11,461,706",0.00%,
Listed Equity,,,,Zhen Ding Technology Holding Ltd.,,,B734XQ4,,"1,439,000","9,752,319",0.00%,
Listed Equity,,,,"Zhongji Innolight Co., Ltd.",,,BFFJRM7,,"15,800","2,070,649",0.00%,
Listed Equity,,,,"Zillow Group, Inc.",,,BYXJF62,,"54,171","5,541,794",0.00%,
Listed Equity,,,,"Zimmer Biomet Holdings, Inc.",,,2783815,,"109,080","14,747,924",0.01%,
Listed Equity,,,,Zip Co. Ltd.,,,BPP1Y77,,"4,090,652","13,458,245",0.00%,
Listed Equity,,,,"Zoetis, Inc.",,,B95WG16,,"261,076","49,259,327",0.02%,
Listed Equity,,,,"Zoom Communications, Inc.",,,BGSP7M9,,"252,338","32,652,390",0.01%,
Listed Equity,,,,"ZOZO, Inc.",,,B292RC1,,"384,000","4,742,809",0.00%,
Listed Equity,,,,"Zscaler, Inc.",,,BZ00V34,,"8,950","3,018,721",0.00%,
Listed Equity,,,,Zurich Insurance Group AG,,,5983816,,"112,322","127,945,972",0.05%,
Listed Equity,,,,Zydus Lifesciences Ltd.,,,BYM8TG8,,"919,325","14,024,688",0.01%,
Total,,,,,,,,,,"96,773,887,417",35.84%,
Unlisted Equity,Externally,,,,Adams Street Partners,,,,,"249,515,336",0.09%,
Unlisted Equity,Externally,,,,Advent International Corporation,,,,,"1,815,335,072",0.67%,
Unlisted Equity,Externally,,,,American Industrial Partners,,,,,"553,160,408",0.20%,
Unlisted Equity,Externally,,,,Apax Partners,,,,,"1,720,564,295",0.64%,
Unlisted Equity,Externally,,,,Archer Capital Pty Ltd,,,,,"3,782,405",0.00%,
Unlisted Equity,Externally,,,,"Bain Capital Partners, LLC",,,,,"1,403,000,198",0.52%,
Unlisted Equity,Externally,,,,Bessemer Venture Partners,,,,,"1,556,698,936",0.58%,
Unlisted Equity,Externally,,,,Blackbird Ventures,,,,,"378,941,193",0.14%,
Unlisted Equity,Externally,,,,CDH Investments,,,,,"12,892,039",0.00%,
Unlisted Equity,Externally,,,,Charterhouse Capital Partners,,,,,"81,638,058",0.03%,
Unlisted Equity,Externally,,,,Clocktower Technology Ventures,,,,,"146,276,451",0.05%,
Unlisted Equity,Externally,,,,Columbia Capital L.P.,,,,,"890,294,485",0.33%,
Unlisted Equity,Externally,,,,EQT Fund Management,,,,,"145,165,777",0.05%,
Unlisted Equity,Externally,,,,FountainVest Partners,,,,,"245,081,916",0.09%,
Unlisted Equity,Externally,,,,GI Partners,,,,,"1,385,954,433",0.51%,
Unlisted Equity,Externally,,,,Goldman Sachs Asset Management,,,,,"143,631,949",0.05%,
Unlisted Equity,Externally,,,,Hellman & Friedman LLC,,,,,"2,035,963,370",0.75%,
Unlisted Equity,Externally,,,,Hg Pooled Management Limited,,,,,"51,422,639",0.02%,
Unlisted Equity,Externally,,,,Hillhouse Capital Management Ltd,,,,,"1,073,902,603",0.40%,
Unlisted Equity,Externally,,,,HongShan,,,,,"24,434,720",0.01%,
Unlisted Equity,Externally,,,,Horsley Bridge Partners LLC,,,,,"4,874,677,209",1.81%,
Unlisted Equity,Externally,,,,Lightspeed Venture Partners,,,,,"2,166,618,885",0.80%,
Unlisted Equity,Externally,,,,Motive Partners,,,,,"438,459,211",0.16%,
Unlisted Equity,Externally,,,,New Enterprise Associates,,,,,"5,393,015,152",2.00%,
Unlisted Equity,Externally,,,,Oakley Capital Limited,,,,,"22,837,850",0.01%,
Unlisted Equity,Externally,,,,Oaktree Capital Management,,,,,"54,096,181",0.02%,
Unlisted Equity,Externally,,,,Parthenon Capital Partners,,,,,"108,412,557",0.04%,
Unlisted Equity,Externally,,,,Playground Global,,,,,"338,258,154",0.13%,
Unlisted Equity,Externally,,,,Quadrant Private Equity Limited,,,,,"1,190,219,162",0.44%,
Unlisted Equity,Externally,,,,Quilvest S.A.,,,,,"1,438,956,716",0.53%,
Unlisted Equity,Externally,,,,RCP Advisors LLC,,,,,"2,229,327,468",0.83%,
Unlisted Equity,Externally,,,,Seidler Equity Partners,,,,,"61,384,019",0.02%,
Unlisted Equity,Externally,,,,Sequoia Capital LLC,,,,,"14,398,818",0.01%,
Unlisted Equity,Externally,,,,Siris Capital,,,,,"284,680,857",0.11%,
Unlisted Equity,Externally,,,,StepStone Group,,,,,"18,537,898",0.01%,
Unlisted Equity,Externally,,,,The Growth Fund,,,,,"8,912,782",0.00%,
Unlisted Equity,Externally,,,,Towerbrook Capital Partners,,,,,"429,570,559",0.16%,
Unlisted Equity,Externally,,,,Trustar Capital,,,,,"120,197,128",0.04%,
Unlisted Equity,Externally,,,,Vitruvian Partners LLP,,,,,"39,144,714",0.01%,
Unlisted Equity,Externally,,,,Xiang He Capital,,,,,"174,552,001",0.06%,
Total,,,,,,,,,,"33,323,913,605",12.34%,
Listed Property,,,,Abacus Group,,,BQV4PB8,,"347,939","435,794",0.00%,
Listed Property,,,,Abacus Storage King,,,BQYLGZ7,,"333,544","518,435",0.00%,
Listed Property,,,,abrdn European Logistics Income Plc,,,BD9PXH4,,"198,058","106,264",0.00%,
Listed Property,,,,Acadia Realty Trust,,,2566522,,"108,521","3,375,160",0.00%,
Listed Property,,,,"Activia Properties, Inc.",,,B8BSRY1,,"1,733","2,379,187",0.00%,
Listed Property,,,,Advance Residence Investment Corp.,,,B62WZW2,,"2,141","3,510,796",0.00%,
Listed Property,,,,Aedifica SA,,,B1G5XP1,,"39,165","4,655,950",0.00%,
Listed Property,,,,AEON REIT Investment Corp.,,,BFSSCF9,,"1,372","1,802,199",0.00%,
Listed Property,,,,AEW UK REIT Plc,,,BWD2415,,"78,300","170,251",0.00%,
Listed Property,,,,Agree Realty Corp.,,,2062161,,"93,062","10,088,683",0.00%,
Listed Property,,,,Aims Apac Reit,,,B58DLN5,,"501,226","876,710",0.00%,
Listed Property,,,,"Alexander & Baldwin, Inc.",,,B827VB2,,"60,038","1,889,777",0.00%,
Listed Property,,,,"Alexandria Real Estate Equities, Inc.",,,2009210,,"141,982","10,573,332",0.00%,
Listed Property,,,,Allied Properties Real Estate Investment Trust,,,2387701,,"105,154","1,543,918",0.00%,
Listed Property,,,,Allreal Holding AG,,,5914270,,"12,229","4,722,052",0.00%,
Listed Property,,,,Altarea SCA,,,4821638,,"5,268","1,016,864",0.00%,
Listed Property,,,,"American Assets Trust, Inc.",,,B3NTLD4,,"42,747","1,213,467",0.00%,
Listed Property,,,,"American Healthcare REIT, Inc.",,,BQWNKQ4,,"138,316","9,812,896",0.00%,
Listed Property,,,,American Homes 4 Rent,,,BCF5RR9,,"283,876","13,664,872",0.01%,
Listed Property,,,,"Americold Realty Trust, Inc.",,,B3SKZK7,,"236,866","4,649,585",0.00%,
Listed Property,,,,Amot Investments Ltd.,,,B18MCB9,,"199,135","2,342,415",0.00%,
Listed Property,,,,Apartment Investment & Management Co.,,,BN2W9T6,,"108,579","967,173",0.00%,
Listed Property,,,,"Apple Hospitality REIT, Inc.",,,BXRTX56,,"184,194","3,295,245",0.00%,
Listed Property,,,,Arena REIT,,,B99K263,,"325,915","1,177,008",0.00%,
Listed Property,,,,Argan SA,,,B1YKDN6,,"13,670","1,588,982",0.00%,
Listed Property,,,,Argosy Property Ltd.,,,B6ZFBN1,,"636,184","683,014",0.00%,
Listed Property,,,,Aroundtown SA,,,BF0CK44,,"590,918","2,755,825",0.00%,
Listed Property,,,,Ascencio SA,,,B1R6PX5,,"4,920","462,714",0.00%,
Listed Property,,,,Aspen Group Ltd.,,,6361057,,"126,207","737,680",0.00%,
Listed Property,,,,Atrium Ljungberg AB,,,BTXYPL7,,"190,515","1,029,345",0.00%,
Listed Property,,,,"AvalonBay Communities, Inc.",,,2131179,,"117,859","32,354,005",0.01%,
Listed Property,,,,Azrieli Group Ltd.,,,B5MN1W0,,"30,137","5,111,889",0.00%,
Listed Property,,,,Big Yellow Group Plc,,,0286941,,"154,162","3,252,515",0.00%,
Listed Property,,,,Boardwalk Real Estate Investment Trust,,,B011205,,"33,611","2,375,157",0.00%,
Listed Property,,,,"Brixmor Property Group, Inc.",,,BFTDJL8,,"252,376","9,923,219",0.00%,
Listed Property,,,,"Broadstone Net Lease, Inc.",,,BN93088,,"156,035","4,132,231",0.00%,
Listed Property,,,,BWP Trust,,,6127453,,"458,079","1,848,715",0.00%,
Listed Property,,,,"BXP, Inc.",,,2019479,,"131,122","13,406,160",0.00%,
Listed Property,,,,CA Immobilien Anlagen AG,,,5681046,,"25,192","999,166",0.00%,
Listed Property,,,,Camden Property Trust,,,2166320,,"87,498","14,584,310",0.01%,
Listed Property,,,,Canadian Apartment Properties Real Estate Investment Trust,,,2117599,,"130,547","5,281,351",0.00%,
Listed Property,,,,CapitaLand Ascendas REIT,,,6563875,,"3,077,697","10,156,479",0.00%,
Listed Property,,,,CapitaLand Ascott Trust,,,BG0RZ29,,"2,173,561","2,420,506",0.00%,
Listed Property,,,,CapitaLand Integrated Commercial Trust,,,6420129,,"4,881,592","13,604,740",0.01%,
Listed Property,,,,CapitaLand Investment Ltd.,,,BNHXFJ6,,"1,891,241","5,976,502",0.00%,
Listed Property,,,,Care Property Invest,,,BKXNCS7,,"35,181","777,248",0.00%,
Listed Property,,,,Care Property Invest,,,BQ74SW4,,"30,784",0,0.00%,
Listed Property,,,,"CareTrust REIT, Inc.",,,BMP8TL6,,"183,732","10,055,184",0.00%,
Listed Property,,,,Carmila SA,,,B4Y0230,,"52,428","1,569,707",0.00%,
Listed Property,,,,Castellum AB,,,B0XP0T0,,"285,331","4,962,880",0.00%,
Listed Property,,,,Catena AB,,,B131GJ7,,"35,043","2,569,701",0.00%,
Listed Property,,,,CDL Hospitality Trusts,,,B192HG8,,"662,603","645,165",0.00%,
Listed Property,,,,Centerspace,,,BN47P80,,"13,861","1,402,833",0.00%,
Listed Property,,,,Centuria Industrial REIT,,,BD31FD8,,"522,585","1,751,705",0.00%,
Listed Property,,,,Centuria Office REIT,,,BKTW448,,"411,485","483,598",0.00%,
Listed Property,,,,Champion Real Estate Investment Trust,,,B14WZ47,,"1,482,000","728,090",0.00%,
Listed Property,,,,Charter Hall Group,,,B15F6S6,,"390,350","9,676,297",0.00%,
Listed Property,,,,Charter Hall Long WALE REIT,,,BDB46J2,,"566,843","2,348,856",0.00%,
Listed Property,,,,Charter Hall Retail REIT,,,6225595,,"471,329","1,948,474",0.00%,
Listed Property,,,,Charter Hall Social Infrastructure REIT,,,BHJVMY0,,"274,814","857,969",0.00%,
Listed Property,,,,Chartwell Retirement Residences,,,B8S8C94,,"250,031","5,509,842",0.00%,
Listed Property,,,,Choice Properties Real Estate Investment Trust,,,BBX46Q3,,"230,122","3,742,168",0.00%,
Listed Property,,,,Cibus Nordic Real Estate AB,,,BYWR8Y6,,"64,094","1,539,766",0.00%,
Listed Property,,,,City Developments Ltd.,,,6197928,,"328,800","3,067,275",0.00%,
Listed Property,,,,Citycon Oyj,,,BHWV281,,"64,811","454,980",0.00%,
Listed Property,,,,Cofinimmo SA,,,4177988,,"31,752","4,428,970",0.00%,
Listed Property,,,,Colonial SFL SOCIMI SA,,,BD0PJ08,,"305,816","2,943,451",0.00%,
Listed Property,,,,"Comforia Residential REIT, Inc.",,,B8N6QD5,,549,"1,751,646",0.00%,
Listed Property,,,,COPT Defense Properties,,,2756152,,"93,727","3,950,210",0.00%,
Listed Property,,,,Corem Property Group AB,,,BYVWKN5,,"662,568","471,149",0.00%,
Listed Property,,,,"Cousins Properties, Inc.",,,BJP0MF6,,"138,633","5,359,464",0.00%,
Listed Property,,,,Covivio SA,,,7745638,,"44,288","4,418,679",0.00%,
Listed Property,,,,"CRE Logistics REIT, Inc.",,,BFXZ9X2,,473,"777,491",0.00%,
Listed Property,,,,Crombie Real Estate Investment Trust,,,B11YBV5,,"89,860","1,507,400",0.00%,
Listed Property,,,,Cromwell Property Group,,,6225476,,"1,353,564","632,791",0.00%,
Listed Property,,,,CubeSmart,,,B6SW913,,"187,598","10,141,573",0.00%,
Listed Property,,,,Curbline Properties Corp.,,,BSNR2T6,,"80,056","2,809,193",0.00%,
Listed Property,,,,Custodian Property Income REIT Plc,,,BJFLFT4,,"330,089","575,914",0.00%,
Listed Property,,,,Daiwa House REIT Investment Corp.,,,B0Z6WY0,,"3,395","4,651,156",0.00%,
Listed Property,,,,Daiwa Office Investment Corp.,,,B0LNTF5,,414,"1,512,418",0.00%,
Listed Property,,,,Daiwa Securities Living Investment Corp.,,,B15T1S3,,"1,593","1,738,920",0.00%,
Listed Property,,,,Derwent London Plc,,,0265274,,"86,948","3,049,787",0.00%,
Listed Property,,,,Deutsche EuroShop AG,,,4754972,,"8,511","282,402",0.00%,
Listed Property,,,,Dexus,,,B033YN6,,"877,123","6,247,747",0.00%,
Listed Property,,,,Dexus Industria REIT,,,BP2RQ94,,"264,366","722,116",0.00%,
Listed Property,,,,DiamondRock Hospitality Co.,,,B090B96,,"169,534","2,308,418",0.00%,
Listed Property,,,,DigiCo Infrastructure REIT,,,BTCHK67,,"352,237","993,308",0.00%,
Listed Property,,,,Digital Core REIT,,,BNYGMH5,,"708,800","542,083",0.00%,
Listed Property,,,,"Digital Realty Trust, Inc.",,,B03GQS4,,"284,906","66,612,450",0.02%,
Listed Property,,,,Diös Fastigheter AB,,,B1323T9,,"83,836","895,288",0.00%,
Listed Property,,,,"Douglas Emmett, Inc.",,,B1G3M58,,"133,218","2,233,452",0.00%,
Listed Property,,,,Dream Industrial Real Estate Investment Trust,,,BMH4P92,,"238,978","3,301,874",0.00%,
Listed Property,,,,"Easterly Government Properties, Inc.",,,BTTRRD6,,"34,008","1,080,647",0.00%,
Listed Property,,,,"EastGroup Properties, Inc.",,,2455761,,"43,988","11,853,046",0.00%,
Listed Property,,,,Elme Communities,,,2942304,,"72,375","1,888,468",0.00%,
Listed Property,,,,"Empire State Realty Trust, Inc.",,,BF321D7,,"113,495","1,109,676",0.00%,
Listed Property,,,,Empiric Student Property PLC,,,BLWDVR7,,"568,492","893,248",0.00%,
Listed Property,,,,Entra ASA,,,BRJ2VC4,,"36,766","631,859",0.00%,
Listed Property,,,,EPR Properties,,,B8XXZP1,,"62,000","4,666,852",0.00%,
Listed Property,,,,"Equinix, Inc.",,,BVLZX12,,"80,970","93,028,380",0.03%,
Listed Property,,,,"Equity LifeStyle Properties, Inc.",,,2563125,,"159,631","14,632,143",0.01%,
Listed Property,,,,Equity Residential,,,2319157,,"313,875","29,671,860",0.01%,
Listed Property,,,,"ESR Kendall Square REIT Co., Ltd.",,,BNNGHG0,,"138,546","631,910",0.00%,
Listed Property,,,,ESR-REIT,,,BVDJZ16,,"467,666","1,477,869",0.00%,
Listed Property,,,,"Essential Properties Realty Trust, Inc.",,,BFFK0X2,,"162,970","7,324,302",0.00%,
Listed Property,,,,"Essex Property Trust, Inc.",,,2316619,,"52,810","20,723,282",0.01%,
Listed Property,,,,Eurocommercial Properties NV,,,BMZ4R21,,"34,279","1,572,687",0.00%,
Listed Property,,,,"Extra Space Storage, Inc.",,,B02HWR9,,"174,541","34,083,721",0.01%,
Listed Property,,,,Fabege AB,,,BFM6T36,,"156,773","2,105,163",0.00%,
Listed Property,,,,Far East Hospitality Trust,,,B8GM577,,"781,400","555,820",0.00%,
Listed Property,,,,Fastighets AB Balder,,,BPMRNZ9,,"576,200","6,392,270",0.00%,
Listed Property,,,,FastPartner AB,,,BKTNZS2,,"39,020","301,176",0.00%,
Listed Property,,,,Federal Realty Investment Trust,,,BN7P9B2,,"70,673","10,682,820",0.00%,
Listed Property,,,,First Capital Real Estate Investment Trust,,,BKSLS55,,"176,300","3,657,412",0.00%,
Listed Property,,,,"First Industrial Realty Trust, Inc.",,,2360757,,"106,332","9,202,896",0.00%,
Listed Property,,,,Fortune Real Estate Investment Trust,,,B5T50H7,,"1,264,000","1,190,838",0.00%,
Listed Property,,,,"Four Corners Property Trust, Inc.",,,BZ16HK0,,"84,172","2,956,970",0.00%,
Listed Property,,,,Frasers Centrepoint Trust,,,B17NZ47,,"1,061,915","2,885,204",0.00%,
Listed Property,,,,Frasers Logistics & Commercial Trust,,,BYYFHZ2,,"2,299,100","2,667,545",0.00%,
Listed Property,,,,Frontier Real Estate Investment Corp.,,,B020QY3,,"2,035","1,849,161",0.00%,
Listed Property,,,,Fukuoka REIT Corp.,,,B0B8154,,602,"1,083,913",0.00%,
Listed Property,,,,"Gaming & Leisure Properties, Inc.",,,BFPK4S5,,"225,094","15,085,028",0.01%,
Listed Property,,,,Gecina SA,,,7742468,,"42,039","5,989,731",0.00%,
Listed Property,,,,Getty Realty Corp.,,,2698146,,"43,533","1,818,418",0.00%,
Listed Property,,,,"Global Net Lease, Inc.",,,BZCFW78,,"160,780","2,073,492",0.00%,
Listed Property,,,,Global One Real Estate Investment Corp.,,,6693608,,774,"1,020,395",0.00%,
Listed Property,,,,GLP J-REIT,,,B8RBZV7,,"3,606","5,136,870",0.00%,
Listed Property,,,,Goodman Group,,,B03FYZ4,,"1,642,281","51,124,208",0.02%,
Listed Property,,,,Goodman Property Trust,,,6299192,,"803,354","1,361,278",0.00%,
Listed Property,,,,GPT Group,,,6365866,,"1,596,767","8,846,089",0.00%,
Listed Property,,,,Grainger Plc,,,B04V127,,"570,799","2,097,693",0.00%,
Listed Property,,,,Grand City Properties SA,,,B8K9X70,,"56,717","982,912",0.00%,
Listed Property,,,,Granite Real Estate Investment Trust,,,BRYQ8P3,,"50,204","4,501,544",0.00%,
Listed Property,,,,Great Portland Estates Plc,,,BF5H9P8,,"322,260","2,089,116",0.00%,
Listed Property,,,,Growthpoint Properties Australia,,,B1Y9BC8,,"216,818","548,983",0.00%,
Listed Property,,,,H&R Real Estate Investment Trust,,,BGM8DW6,,"215,581","2,482,843",0.00%,
Listed Property,,,,Hamborner REIT AG,,,BMH5DF7,,"59,495","469,424",0.00%,
Listed Property,,,,Hammerson Plc,,,BRJQ8J2,,"417,788","2,780,867",0.00%,
Listed Property,,,,"Hankyu Hanshin REIT, Inc.",,,B0LLJ37,,521,"843,715",0.00%,
Listed Property,,,,Healthcare & Medical Investment Corp.,,,BVVFD01,,275,"309,662",0.00%,
Listed Property,,,,"Healthcare Realty Trust, Inc.",,,BPQWHP8,,"272,652","6,930,271",0.00%,
Listed Property,,,,"Healthpeak Properties, Inc.",,,BJBLRK3,,"574,267","13,847,512",0.01%,
Listed Property,,,,HEBA Fastighets AB,,,BLDBCW2,,"43,730","218,381",0.00%,
Listed Property,,,,"Heiwa Real Estate Co., Ltd.",,,6419600,,"32,800","701,028",0.00%,
Listed Property,,,,"Heiwa Real Estate REIT, Inc.",,,B064LV3,,839,"1,290,341",0.00%,
Listed Property,,,,Helical Plc,,,B0FYMT9,,"87,493","335,479",0.00%,
Listed Property,,,,Henderson Land Development Co. Ltd.,,,6420538,,"1,086,000","5,887,770",0.00%,
Listed Property,,,,HIAG Immobilien Holding AG,,,BMM1ZD2,,"3,496","784,812",0.00%,
Listed Property,,,,"Highwoods Properties, Inc.",,,2420640,,"88,094","3,410,943",0.00%,
Listed Property,,,,Home Invest Belgium SA,,,BN91HC5,,"8,138","263,433",0.00%,
Listed Property,,,,Home REIT Plc,,,BJP5HK1,,"1,351,620",0,0.00%,
Listed Property,,,,HomeCo Daily Needs REIT,,,BNC0NF4,,"1,465,283","2,031,615",0.00%,
Listed Property,,,,Hongkong Land Holdings Ltd.,,,6434915,,"843,200","8,787,943",0.00%,
Listed Property,,,,"Hoshino Resorts REIT, Inc.",,,BBH7G35,,443,"1,130,094",0.00%,
Listed Property,,,,"Host Hotels & Resorts, Inc.",,,2567503,,"568,131","15,403,477",0.01%,
Listed Property,,,,Hufvudstaden AB,,,4449137,,"86,798","1,750,769",0.00%,
Listed Property,,,,"Hulic Co., Ltd.",,,6805317,,"383,200","6,389,453",0.00%,
Listed Property,,,,"Hulic Reit, Inc.",,,BJ04C42,,"1,001","1,690,273",0.00%,
Listed Property,,,,"Hysan Development Co., Ltd.",,,6449629,,"494,000","1,798,812",0.00%,
Listed Property,,,,Icade SA,,,4554406,,"38,003","1,472,472",0.00%,
Listed Property,,,,Ichigo Office REIT Investment Corp.,,,B0LNCF6,,764,"728,721",0.00%,
Listed Property,,,,Immobiliare Grande Distribuzione SIIQ SpA,,,BF0VLX7,,"45,276","276,697",0.00%,
Listed Property,,,,"Independence Realty Trust, Inc.",,,BCRYTK1,,"195,425","5,172,454",0.00%,
Listed Property,,,,Industrial & Infrastructure Fund Investment Corp.,,,B24HH65,,"1,969","2,904,746",0.00%,
Listed Property,,,,Ingenia Communities Group,,,B84GSC7,,"336,478","1,739,591",0.00%,
Listed Property,,,,"Innovative Industrial Properties, Inc.",,,BD0NN55,,"22,844","1,687,479",0.00%,
Listed Property,,,,Intea Fastigheter AB,,,BQ3QQ53,,"52,671","565,903",0.00%,
Listed Property,,,,InterRent Real Estate Investment Trust,,,B1L9R12,,"107,971","1,557,993",0.00%,
Listed Property,,,,Intershop Holding AG,,,BNKT5J1,,"4,477","1,393,152",0.00%,
Listed Property,,,,InvenTrust Properties Corp.,,,BKP4ZK1,,"64,162","2,737,139",0.00%,
Listed Property,,,,Investis Holding SA,,,BDC7B95,,"1,401","383,191",0.00%,
Listed Property,,,,Invincible Investment Corp.,,,B00STP1,,"6,041","3,833,438",0.00%,
Listed Property,,,,"Invitation Homes, Inc.",,,BD81GW9,,"507,138","21,362,385",0.01%,
Listed Property,,,,Irish Residential Properties REIT Plc,,,BJ34P51,,"421,137","695,717",0.00%,
Listed Property,,,,Irish Residential Properties REIT Plc,,,BM676K0,,"1,189","1,977",0.00%,
Listed Property,,,,"Iron Mountain, Inc.",,,BVFTF03,,"243,044","30,548,530",0.01%,
Listed Property,,,,"Japan Excellent, Inc.",,,B15T1R2,,919,"1,333,765",0.00%,
Listed Property,,,,Japan Hotel REIT Investment Corp.,,,B1530B1,,"4,025","3,317,296",0.00%,
Listed Property,,,,"Japan Logistics Fund, Inc.",,,B07NL19,,"2,139","2,130,295",0.00%,
Listed Property,,,,Japan Metropolitan Fund Investment Corp.,,,6513342,,"5,532","6,567,984",0.00%,
Listed Property,,,,Japan Prime Realty Investment Corp.,,,6528175,,"2,966","3,052,705",0.00%,
Listed Property,,,,Japan Real Estate Investment Corp.,,,6397580,,"5,527","6,921,612",0.00%,
Listed Property,,,,JBG SMITH Properties,,,BD3BX01,,"48,974","1,262,080",0.00%,
Listed Property,,,,JR Global REIT,,,BMXTQP4,,"155,376","479,691",0.00%,
Listed Property,,,,KDX Realty Investment Corp.,,,B0C5Q59,,"3,053","5,233,157",0.00%,
Listed Property,,,,"Kennedy-Wilson Holdings, Inc.",,,B298495,,"99,452","1,460,051",0.00%,
Listed Property,,,,Keppel DC REIT,,,BT9Q186,,"1,613,471","4,233,256",0.00%,
Listed Property,,,,Keppel REIT,,,B12RQH4,,"2,452,000","2,787,764",0.00%,
Listed Property,,,,Keppel REIT,,,BSZ8B45,,"452,065","7,907",0.00%,
Listed Property,,,,Killam Apartment REIT,,,BYZ1856,,"98,609","1,774,690",0.00%,
Listed Property,,,,Kilroy Realty Corp.,,,2495529,,"97,072","5,518,482",0.00%,
Listed Property,,,,Kimco Realty Corp.,,,2491594,,"553,860","16,835,484",0.01%,
Listed Property,,,,Kite Realty Group Trust,,,BPBSZJ1,,"178,637","6,421,128",0.00%,
Listed Property,,,,Kiwi Property Group Ltd.,,,BTDY2M7,,"1,171,727","1,065,998",0.00%,
Listed Property,,,,Klépierre SA,,,7582556,,"171,612","10,197,628",0.00%,
Listed Property,,,,Kojamo Oyj,,,BFYR8L8,,"126,745","2,283,563",0.00%,
Listed Property,,,,Land Securities Group Plc,,,BYW0PQ6,,"613,033","7,927,625",0.00%,
Listed Property,,,,LaSalle LOGIPORT REIT,,,BDD1L29,,"1,328","2,015,020",0.00%,
Listed Property,,,,LEG Immobilien SE,,,B9G6L89,,"62,541","6,856,629",0.00%,
Listed Property,,,,Lendlease Global Commercial REIT,,,BKBPXB5,,"1,408,281","1,018,150",0.00%,
Listed Property,,,,Life Science Reit Plc,,,BP5X4Q2,,"238,725","189,716",0.00%,
Listed Property,,,,Lifestyle Communities Ltd.,,,6137195,,"79,789","402,934",0.00%,
Listed Property,,,,"Lineage, Inc.",,,BP5DSY8,,"58,678","3,126,164",0.00%,
Listed Property,,,,Link Real Estate Investment Trust,,,B0PB4M7,,"2,137,447","14,306,127",0.01%,
Listed Property,,,,Logistea AB,,,BPG98P6,,"229,238","534,728",0.00%,
Listed Property,,,,LondonMetric Property Plc,,,B4WFW71,,"1,837,786","7,145,971",0.00%,
Listed Property,,,,"LOTTE REIT Co., Ltd.",,,BKTPM65,,"124,091","523,837",0.00%,
Listed Property,,,,"LTC Properties, Inc.",,,2498788,,"37,426","1,929,528",0.00%,
Listed Property,,,,LXP Industrial Trust,,,BSLN6B6,,"47,944","3,614,942",0.00%,
Listed Property,,,,Macerich Co.,,,2543967,,"208,857","5,781,660",0.00%,
Listed Property,,,,Mapletree Industrial Trust,,,B4LR5Q8,,"1,699,028","4,120,925",0.00%,
Listed Property,,,,Mapletree Logistics Trust,,,B0D6P43,,"2,778,279","4,276,423",0.00%,
Listed Property,,,,Mapletree Pan Asia Commercial Trust,,,B5143W8,,"1,870,148","3,205,710",0.00%,
Listed Property,,,,"Medical Properties Trust, Inc.",,,B0JL5L9,,"414,448","3,163,441",0.00%,
Listed Property,,,,Melisron Ltd.,,,6565310,,"20,081","3,905,053",0.00%,
Listed Property,,,,Mercialys SA,,,B0LMF87,,"77,543","1,507,711",0.00%,
Listed Property,,,,MERLIN Properties SOCIMI SA,,,BNGNB77,,"311,062","6,809,646",0.00%,
Listed Property,,,,"Mid-America Apartment Communities, Inc.",,,2589132,,"96,465","20,094,404",0.01%,
Listed Property,,,,MIRAI Corp.,,,BZ1B0D9,,"1,473","726,288",0.00%,
Listed Property,,,,MIRARTH Real Estate Investment Corp.,,,BZ16GD6,,714,"638,687",0.00%,
Listed Property,,,,Mirvac Group,,,6161978,,"3,274,829","6,867,316",0.00%,
Listed Property,,,,"Mitsubishi Estate Co., Ltd.",,,6596729,,"902,900","33,006,147",0.01%,
Listed Property,,,,Mitsubishi Estate Logistics REIT Investment Corp.,,,BF46Y06,,"1,094","1,390,979",0.00%,
Listed Property,,,,"Mitsui Fudosan Accommodations Fund, Inc.",,,B182BB2,,"1,935","2,488,046",0.00%,
Listed Property,,,,"Mitsui Fudosan Co., Ltd.",,,6597603,,"2,161,900","36,826,100",0.01%,
Listed Property,,,,"Mitsui Fudosan Logistics Park, Inc.",,,BYZWTW3,,"2,473","2,888,803",0.00%,
Listed Property,,,,Mobimo Holding AG,,,B0BV896,,"6,178","4,279,949",0.00%,
Listed Property,,,,MONTEA NV,,,B1FWD64,,"17,335","2,234,814",0.00%,
Listed Property,,,,Mori Hills REIT Investment Corp.,,,B1GF9P3,,"1,158","1,650,718",0.00%,
Listed Property,,,,"MORI TRUST REIT, Inc.",,,6729558,,"1,954","1,460,003",0.00%,
Listed Property,,,,"National Health Investors, Inc.",,,2626125,,"38,010","4,405,478",0.00%,
Listed Property,,,,National Storage Affiliates Trust,,,BWWCK85,,"58,493","2,474,451",0.00%,
