Table 1 - Investments other than derivatives,,,,,,,,,,,,
Portfolio Holdings Information for:,Future Fund,,,,,,,,,,,
Reporting Date: ,31/12/2025,,,,,,,,,,,
,,,,,,,,,,,,
Asset Class,Internally or Externally Managed,Name of Institution,Name of Issuer / Counterparty,Name / Investment Item,Name of Investment Manager,Currency,Security Identifier,% Ownership, Units Held ,Value (AUD),Weighting (%),
Listed Equity,,,,ArcelorMittal SA,,,BYPBS67,,"675,627","46,513,510",0.02%,
Listed Equity,,,,Arch Capital Group Ltd.,,,2740542,,"370,344","53,270,445",0.02%,
Listed Equity,,,,Archer-Daniels-Midland Co.,,,2047317,,"498,350","42,963,397",0.02%,
Listed Equity,,,,Ares Management Corp.,,,BF14BT1,,"19,049","4,617,065",0.00%,
Listed Equity,,,,argenx SE,,,BNHKYX4,,"22,400","28,278,246",0.01%,
Listed Equity,,,,"Arista Networks, Inc.",,,BL9XPM3,,"727,765","142,999,247",0.05%,
Listed Equity,,,,Aristocrat Leisure Ltd.,,,6253983,,"7,081,775","412,017,670",0.15%,
Listed Equity,,,,Arthur J. Gallagher & Co.,,,2359506,,"22,192","8,612,233",0.00%,
Listed Equity,,,,Asahi Group Holdings Ltd.,,,6054409,,"1,057,804","16,828,658",0.01%,
Listed Equity,,,,Asahi Kasei Corp.,,,6054603,,"769,700","10,228,263",0.00%,
Listed Equity,,,,"ASE Technology Holding Co., Ltd.",,,BFXZDY1,,"2,122,358","25,373,777",0.01%,
Listed Equity,,,,Ashok Leyland Ltd.,,,B01NFT1,,"9,040,232","27,027,447",0.01%,
Listed Equity,,,,Ashtead Group Plc,,,0053673,,"284,847","29,221,217",0.01%,
Listed Equity,,,,Asia Cement Corp.,,,6056331,,"5,870,451","10,422,530",0.00%,
Listed Equity,,,,"Asia Vital Components Co., Ltd.",,,6544892,,"474,000","34,159,699",0.01%,
Listed Equity,,,,Asian Paints Ltd.,,,BCRWL65,,"331,430","15,314,572",0.01%,
Listed Equity,,,,ASICS Corp.,,,6057378,,"532,300","19,195,827",0.01%,
Listed Equity,,,,ASML Holding NV,,,B929F46,,"343,648","557,658,692",0.21%,
Listed Equity,,,,"ASPEED Technology, Inc.",,,B80VKP3,,"7,000","2,425,456",0.00%,
Listed Equity,,,,ASR Nederland NV,,,BD9PNF2,,"54,104","5,776,327",0.00%,
Listed Equity,,,,ASSA ABLOY AB,,,BYPC1T4,,"765,504","44,690,825",0.02%,
Listed Equity,,,,Assicurazioni Generali SpA,,,4056719,,"473,667","29,823,295",0.01%,
Listed Equity,,,,Associated British Foods Plc,,,0673123,,"290,925","12,729,489",0.00%,
Listed Equity,,,,"Astellas Pharma, Inc.",,,6985383,,"1,280,900","25,648,537",0.01%,
Listed Equity,,,,"Astera Labs, Inc.",,,BMTQ7V2,,"36,557","9,119,926",0.00%,
Listed Equity,,,,Astra Industrial Group,,,B3CQKT5,,"15,794","894,767",0.00%,
Listed Equity,,,,Astral Ltd.,,,BR2NB24,,"141,456","3,277,019",0.00%,
Listed Equity,,,,AstraZeneca PLC,,,0989529,,"968,946","269,509,536",0.10%,
Listed Equity,,,,"ASUSTek Computer, Inc.",,,6051046,,"855,437","22,373,161",0.01%,
Listed Equity,,,,ASX Ltd.,,,6129222,,"2,036,116","104,737,807",0.04%,
Listed Equity,,,,"AT&T, Inc.",,,2831811,,"5,153,007","191,948,255",0.07%,
Listed Equity,,,,"AtkinsRéalis Group, Inc.",,,BRJNZ47,,"111,680","10,824,871",0.00%,
Listed Equity,,,,Atlas Arteria Ltd.,,,BZ03TZ1,,"10,114,873","49,360,580",0.02%,
Listed Equity,,,,Atlas Copco AB,,,BLDBN41,,"2,054,975","55,506,376",0.02%,
Listed Equity,,,,Atlas Copco AB,,,BLDBN52,,"1,386,021","33,593,367",0.01%,
Listed Equity,,,,Atlassian Corp.,,,BQ1PC76,,"45,257","11,003,929",0.00%,
Listed Equity,,,,Atmos Energy Corp.,,,2315359,,"74,806","18,804,423",0.01%,
Listed Equity,,,,AUB Group Ltd.,,,B0MBNC3,,"813,702","25,062,022",0.01%,
Listed Equity,,,,Auckland International Airport Ltd.,,,BKX3XG2,,"964,745","6,930,028",0.00%,
Listed Equity,,,,AUO Corp.,,,6288190,,"10,683,000","6,245,800",0.00%,
Listed Equity,,,,Aurizon Holdings Ltd.,,,B87CVM3,,"28,163,024","102,795,038",0.04%,
Listed Equity,,,,Aurobindo Pharma Ltd.,,,6702634,,"826,862","16,320,349",0.01%,
Listed Equity,,,,Austal Ltd.,,,6137162,,"4,996,312","33,425,327",0.01%,
Listed Equity,,,,Austin Engineering Ltd.,,,6710615,,"19,385,128","4,652,431",0.00%,
Listed Equity,,,,"Autodesk, Inc.",,,2065159,,"117,601","52,202,252",0.02%,
Listed Equity,,,,"Autohome, Inc.",,,BH5QGR0,,"81,580","2,870,011",0.00%,
Listed Equity,,,,"Automatic Data Processing, Inc.",,,2065308,,"168,785","65,537,227",0.02%,
Listed Equity,,,,Autotrader Group Plc,,,BVYVFW2,,"827,080","9,782,543",0.00%,
Listed Equity,,,,"AutoZone, Inc.",,,2065955,,"4,455","22,657,468",0.01%,
Listed Equity,,,,"AvalonBay Communities, Inc.",,,2131179,,"49,500","13,588,468",0.01%,
Listed Equity,,,,Avery Dennison Corp.,,,2066408,,"41,391","11,289,188",0.00%,
Listed Equity,,,,AVI Ltd.,,,6040958,,"92,909","887,073",0.00%,
Listed Equity,,,,Aviva Plc,,,BPQY8M8,,"1,759,012","24,282,260",0.01%,
Listed Equity,,,,Avolta AG,,,B0R80X9,,"34,954","3,118,861",0.00%,
Listed Equity,,,,AXA SA,,,7088429,,"939,519","67,775,380",0.03%,
Listed Equity,,,,AXIA Energia SA,,,BV9B624,,"817,491","11,322,189",0.00%,
Listed Equity,,,,AXIA Energia SA,,,BV9B635,,"266,600","3,824,444",0.00%,
Listed Equity,,,,AXIA Energia SA,,,BVPBRT2,,"284,940","3,830,217",0.00%,
Listed Equity,,,,AXIA Energia SA,,,BVPJS93,,"266,600","94,806",0.00%,
Listed Equity,,,,Axiata Group Bhd.,,,B2QZGV5,,"980,300","912,892",0.00%,
Listed Equity,,,,Axis Bank Ltd.,,,BPFJHC7,,"374,186","7,924,971",0.00%,
Listed Equity,,,,"Axon Enterprise, Inc.",,,BDT5S35,,"6,654","5,666,951",0.00%,
